iter	Passed	Remaining
407	5563	8071
408	5576	8058
409	5590	8045
410	5604	8032
411	5619	8019
412	5632	8005
413	5645	7990
414	5658	7977
415	5672	7963
416	5686	7950
417	5701	7938
418	5714	7924
419	5728	7910
420	5742	7898
421	5756	7884
422	5770	7871
423	5783	7857
424	5797	7843
425	5811	7830
426	5825	7817
427	5839	7803
428	5853	7790
429	5867	7777
430	5881	7764
431	5894	7750
432	5908	7737
433	5922	7724
434	5936	7710
435	5950	7697
436	5964	7684
437	5978	7670
438	5991	7656
439	6005	7642
440	6018	7628
441	6031	7615
442	6045	7601
443	6060	7588
444	6074	7575
445	6087	7562
446	6101	7548
447	6114	7534
448	6128	7520
449	6142	7507
450	6155	7493
451	6169	7479
452	6183	7466
453	6195	7451
454	6209	7438
455	6223	7424
456	6237	7411
457	6251	7397
458	6264	7384
459	6278	7369
460	6292	7356
461	6305	7343
462	6319	7329
463	6333	7316
464	6347	7302
465	6361	7289
466	6375	7276
467	6389	7262
468	6403	7249
469	6416	7235
470	6430	7221
471	6443	7208
472	6457	7194
473	6471	7181
474	6485	7168
475	6498	7153
476	6512	7140
477	6526	7127
478	6540	7113
479	6553	7099
480	6567	7086
481	6581	7072
482	6595	7059
483	6609	7046
484	6623	7032
485	6637	7019
486	6650	7005
487	6664	6992
488	6678	6978
489	6691	6965
490	6705	6951
491	6720	6938
492	6734	6925
493	6747	6911
494	6761	6898
495	6775	6885
496	6789	6871
497	6803	6857
498	6816	6844
499	6830	6830
500	6843	6815
501	6857	6802
502	6871	6789
503	6885	6775
504	6898	6762
505	6912	6748
506	6926	6735
507	6940	6721
508	6953	6707
509	6967	6694
510	6981	6680
511	6994	6666
512	7008	6653
513	7022	6640
514	7036	6626
515	7049	6612
516	7063	6598
517	7077	6585
518	7091	6572
519	7105	6558
520	7119	6545
521	7132	6531
522	7146	6517
523	7159	6504
524	7173	6490
525	7187	6476
526	7201	6463
527	7215	6449
528	7229	6436
529	7243	6423
530	7257	6409
531	7271	6396
532	7285	6383
533	7298	6368
534	7311	6355
535	7325	6341
536	7339	6327
537	7352	6313
538	7365	6300
539	7379	6286
540	7393	6272
541	7406	6258
542	7420	6245
543	7433	6231
544	7448	6218
545	7462	6204
546	7476	6191
547	7490	6178
548	7504	6164
549	7518	6151
550	7531	6137
551	7545	6124
552	7559	6110
553	7573	6097
554	7587	6083
555	7600	6069
556	7614	6056
557	7628	6042
558	7642	6029
559	7656	6015
560	7669	6001
561	7683	5988
562	7697	5974
563	7710	5960
564	7724	5947
565	7738	5933
566	7752	5920
567	7766	5906
568	7780	5893
569	7793	5879
570	7807	5866
571	7821	5852
572	7834	5838
573	7849	5825
574	7862	5811
575	7876	5798
576	7889	5784
577	7903	5770
578	7917	5756
579	7931	5743
580	7944	5729
581	7958	5715
582	7972	5702
583	7986	5688
584	7999	5675
585	8013	5661
586	8026	5647
587	8040	5634
588	8054	5620
589	8068	5606
590	8082	5593
591	8096	5580
592	8110	5566
593	8123	5552
594	8138	5539
595	8151	5525
596	8165	5512
597	8179	5498
598	8193	5484
599	8207	5471
600	8220	5457
601	8235	5444
602	8248	5430
603	8263	5417
604	8276	5403
605	8291	5390
606	8305	5377
607	8318	5363
608	8332	5349
609	8346	5336
610	8360	5322
611	8374	5309
612	8388	5295
613	8413	5289
614	8436	5281
615	8455	5271
616	8478	5262
617	8499	5253
618	8513	5239
619	8527	5226
620	8541	5213
621	8555	5199
622	8569	5185
623	8582	5171
624	8596	5158
625	8611	5144
626	8625	5131
627	8639	5117
628	8652	5103
629	8666	5090
630	8680	5076
631	8694	5062
632	8708	5049
633	8722	5035
634	8736	5021
635	8749	5007
636	8763	4994
637	8777	4980
638	8791	4966
639	8804	4952
640	8818	4939
641	8833	4925
642	8847	4912
643	8861	4898
644	8875	4884
645	8889	4871
646	8902	4857
647	8916	4843
648	8930	4829
649	8943	4815
650	8958	4802
651	8971	4788
652	8985	4774
653	8999	4761
654	9012	4747
655	9026	4733
