iter	Logloss	ZeroOneLoss:use_weights=true	ZeroOneLoss:use_weights=false
0	0.5528546865	0.2968910957	0.296148074
1	0.5055063274	0.2530633188	0.2546273137
2	0.4722378972	0.2284489458	0.2286143072
3	0.4396834268	0.2073236375	0.2071035518
4	0.3958776057	0.1811889599	0.1815907954
5	0.3772584659	0.1697251071	0.1700850425
6	0.362791833	0.1565197499	0.1570785393
7	0.3424727531	0.144352264	0.1447390362
8	0.3305843473	0.1422413648	0.1422377856
9	0.3179839611	0.1336509186	0.1335667834
10	0.3103284961	0.1292186864	0.1292312823
11	0.2975194507	0.1195301488	0.12006003
12	0.2871613376	0.1127738921	0.1132232783
13	0.2824661249	0.1095033357	0.1100550275
14	0.2688524277	0.1030826631	0.1033850258
15	0.2676651948	0.1026855133	0.1030515258
16	0.2657156143	0.1014013787	0.1017175254
17	0.256902227	0.09433931164	0.09454727364
18	0.2482309735	0.08779685309	0.08787727197
19	0.2316799071	0.07847367309	0.07870601968
20	0.2259968527	0.07511110442	0.07537101884
21	0.2188103299	0.07132026662	0.07153576788
22	0.2174805325	0.07064775288	0.07086876772
23	0.2118735238	0.06905780794	0.0692012673
24	0.2083364089	0.06612350841	0.06636651659
25	0.2072113225	0.06508429135	0.06536601634
26	0.1987699511	0.0610180896	0.0611972653
27	0.1901192269	0.05493501954	0.0551942638
28	0.1833253153	0.04888239593	0.0491912623
29	0.1784559191	0.04747580266	0.04769051192
30	0.1712843935	0.04414435333	0.04452226113
31	0.1669961427	0.0423101638	0.04268801067
32	0.1654902814	0.04166809653	0.04202101051
33	0.1642091754	0.04068977239	0.04102051026
34	0.1595901357	0.03803016392	0.03835250959
35	0.158578777	0.03738809665	0.03768550942
36	0.152172502	0.03561480005	0.03585125896
37	0.1490368843	0.03466759525	0.03501750875
38	0.1458723137	0.03420887965	0.03451725863
39	0.1423415988	0.03213044552	0.03251625813
40	0.1388730666	0.02876720398	0.02901450725
41	0.1362334119	0.02702502671	0.02734700684
42	0.1339313769	0.02601625611	0.02634650659
43	0.1333836309	0.02552709404	0.02584625646
44	0.1273692832	0.02384580971	0.02417875604
45	0.1255353879	0.02295949784	0.02334500584
46	0.1248711248	0.02283703911	0.02317825579
47	0.1202583376	0.02057525331	0.02101050525
48	0.119880574	0.02078905144	0.02117725529
49	0.1195048428	0.02063614624	0.02101050525
50	0.1192774293	0.02063614624	0.02101050525
51	0.1184687749	0.01981072731	0.02017675504
52	0.1152453845	0.01892441544	0.01934300484
53	0.1124576247	0.01800698424	0.01834250459
54	0.1067392819	0.01611190177	0.01650825413
55	0.1061568296	0.0149197795	0.01534100384
56	0.1015002811	0.01458284976	0.01484075371
57	0.101043305	0.01424659289	0.01450725363
58	0.09905579244	0.0133907275	0.01367350342
59	0.09826855541	0.01287111896	0.01317325329
60	0.09780141754	0.01250441563	0.01283975321
61	0.0954239168	0.01238195689	0.01267300317
62	0.09440035877	0.01158698443	0.01183925296
63	0.09380739592	0.01091447069	0.01117225279
64	0.09241318393	0.009997039486	0.01017175254
65	0.09084930571	0.01018039115	0.01033850258
66	0.09020259414	0.009691229084	0.00983825246
67	0.08969501697	0.009538323883	0.009671502418
68	0.08816987454	0.008407094547	0.008504252126
69	0.08740160443	0.00807083768	0.008170752043
70	0.08627467639	0.007489663342	0.007503751876
71	0.08605443317	0.007642568542	0.007670501918
72	0.08571410518	0.007428770411	0.007503751876
73	0.08459423222	0.007184525815	0.007337001834
74	0.08361588307	0.006878715414	0.007003501751
75	0.08199805541	0.006389553346	0.006503251626
76	0.08176483756	0.006419999811	0.006503251626
77	0.08146137984	0.006236648145	0.006336501584
78	0.08114428826	0.006053296479	0.006169751542
79	0.08086783013	0.006053296479	0.006169751542
80	0.07964750021	0.006389553346	0.006503251626
81	0.07715980246	0.006053296479	0.006169751542
82	0.07551401329	0.006053296479	0.006169751542
